created_at,entry_id,Temperature,Humidity,CO,Hydrogen
1/17/2019 5:42,126,27,49,1023,50
1/17/2019 5:42,127,27,49,1023,50
1/17/2019 5:43,128,27,49,1023,50
1/17/2019 5:43,129,27,49,1023,19
1/17/2019 5:43,130,27,49,1023,50
1/17/2019 5:43,131,27,49,1023,50
1/17/2019 5:44,132,27,49,1023,50
1/17/2019 5:44,133,27,49,1023,19
1/17/2019 5:44,134,27,50,1023,50
1/17/2019 5:45,135,26,50,1023,50
1/17/2019 5:45,136,26,50,1023,50
1/17/2019 5:45,137,26,49,1023,19
1/17/2019 5:46,138,27,49,1023,50
1/17/2019 5:46,139,27,49,1023,50
1/17/2019 5:46,140,27,49,1023,50
1/17/2019 5:47,141,27,49,1023,18
1/17/2019 5:47,142,27,49,1023,50
1/17/2019 5:47,143,27,49,1023,50
1/17/2019 5:48,144,27,49,1023,50
1/17/2019 5:48,145,27,49,1023,19
1/17/2019 5:48,146,27,49,1023,50
1/17/2019 5:49,147,27,49,1023,50
1/17/2019 5:49,148,27,49,1023,50
1/17/2019 5:55,149,27,49,1023,50
1/17/2019 5:55,150,27,49,1023,19
1/17/2019 5:56,151,27,49,1023,50
1/17/2019 5:56,152,27,49,1023,50
1/17/2019 5:56,153,27,49,1023,50
1/17/2019 5:57,154,27,49,1023,20
1/17/2019 5:57,155,27,49,1023,50
1/17/2019 5:57,156,27,49,1023,50
1/17/2019 5:58,157,27,49,1023,50
1/17/2019 5:58,158,27,49,1023,20
1/17/2019 5:58,159,27,49,1023,50
1/17/2019 5:58,160,27,49,1023,50
1/17/2019 5:59,161,27,49,1023,50
1/17/2019 5:59,162,27,49,1023,19
1/17/2019 5:59,163,27,49,1023,50
1/17/2019 6:00,164,27,49,1023,50
1/17/2019 6:00,165,27,49,1023,50
1/17/2019 6:00,166,27,49,1023,19
1/17/2019 6:01,167,27,49,1023,50
1/17/2019 6:01,168,27,49,1023,50
1/17/2019 6:01,169,27,49,1023,50
1/17/2019 6:02,170,27,49,1023,20
1/17/2019 6:02,171,27,49,1023,50
1/17/2019 6:02,172,27,49,1023,50
1/17/2019 6:03,173,27,49,1023,50
1/17/2019 6:03,174,27,49,1023,19
1/17/2019 6:03,175,27,49,1023,50
1/17/2019 6:04,176,26,49,1023,50
1/17/2019 6:04,177,26,49,1023,50
1/17/2019 6:04,178,26,50,1023,19
1/17/2019 6:04,179,27,50,1023,50
1/17/2019 6:05,180,27,50,1023,50
1/17/2019 6:05,181,27,50,1023,50
1/17/2019 6:05,182,27,50,1023,20
1/17/2019 6:06,183,27,50,1023,50
1/17/2019 6:06,184,27,50,1023,50
1/17/2019 6:06,185,27,49,1023,50
1/17/2019 6:07,186,27,49,1023,19
1/17/2019 6:07,187,27,49,1023,50
1/17/2019 6:07,188,27,49,1023,50
1/17/2019 6:08,189,27,49,1023,50
1/17/2019 6:08,190,27,49,1023,19
1/17/2019 6:08,191,27,49,1023,50
1/17/2019 6:09,192,27,50,1023,50
1/17/2019 6:09,193,27,50,1023,50
1/17/2019 6:09,194,27,50,1023,19
1/17/2019 6:10,195,27,49,1023,50
1/17/2019 6:10,196,27,49,1023,50
1/17/2019 6:10,197,27,49,1023,50
1/17/2019 6:10,198,27,49,1023,18
1/17/2019 6:11,199,27,48,1023,50
1/17/2019 6:11,200,27,48,1023,50
1/17/2019 6:11,201,27,48,1023,50
1/17/2019 6:12,202,27,48,1023,19
1/17/2019 6:12,203,27,49,1023,50
1/17/2019 6:12,204,27,49,1023,50
1/17/2019 6:13,205,27,49,1023,50
1/17/2019 6:13,206,27,49,1023,18
1/17/2019 6:13,207,28,49,1023,50
